,Model #,Hidden Size,Num Layers,Dropout Rate,Optimizer,Learning Rate,Num Epochs,Best Epoch Test Loss,Best Simulation Accuracy,Worst Simulation Accuracy,Time per Epoch,Total Time
47,48,2,1,0.1,SGD,0.01,1,25.624582844395793,25.624582844395793,25.624582844395793,1.4960105419158936,1.4960105419158936
48,49,2,2,0.0,Adam,0.001,1,91535.14133379536,91535.14133379536,91535.14133379536,2.381281852722168,2.381281852722168
49,50,2,2,0.0,Adam,0.01,1,63007.11306073589,63007.11306073589,63007.11306073589,2.333176374435425,2.333176374435425
50,51,2,2,0.0,Adam,0.001,1,302.3271280104114,302.3271280104114,302.3271280104114,2.354851245880127,2.354851245880127
51,52,2,2,0.0,Adam,0.01,1,2.2936299847018335,2.2936299847018335,2.2936299847018335,2.4025325775146484,2.4025325775146484
52,53,2,2,0.0,SGD,0.001,1,12859.025605232486,12859.025605232486,12859.025605232486,1.642202377319336,1.642202377319336
53,54,2,2,0.0,SGD,0.01,1,2.2871667345339852,2.2871667345339852,2.2871667345339852,1.8724150657653809,1.8724150657653809
54,55,2,2,0.0,SGD,0.001,1,302.2968850904895,302.2968850904895,302.2968850904895,1.8301208019256592,1.8301208019256592
55,56,2,2,0.0,SGD,0.01,1,298.09391267838015,298.09391267838015,298.09391267838015,1.6769897937774658,1.6769897937774658
56,57,2,2,0.1,Adam,0.001,1,2424.97829129619,2424.97829129619,2424.97829129619,2.404086112976074,2.404086112976074
57,58,2,2,0.1,Adam,0.01,1,88718.74628276209,88718.74628276209,88718.74628276209,2.359790563583374,2.359790563583374
58,59,2,2,0.1,Adam,0.001,1,47.16939818474554,47.16939818474554,47.16939818474554,2.5969176292419434,2.5969176292419434
59,60,2,2,0.1,Adam,0.01,1,297.54349763931765,297.54349763931765,297.54349763931765,2.446692705154419,2.446692705154419
60,61,2,2,0.1,SGD,0.001,1,15186.02459126134,15186.02459126134,15186.02459126134,1.698805570602417,1.698805570602417
61,62,2,2,0.1,SGD,0.01,1,397567101324.3871,397567101324.3871,397567101324.3871,1.73469877243042,1.73469877243042
62,63,2,2,0.1,SGD,0.001,1,302.0017791255828,302.0017791255828,302.0017791255828,1.7129507064819336,1.7129507064819336
63,64,2,2,0.1,SGD,0.01,1,297.9051309400989,297.9051309400989,297.9051309400989,1.8507153987884521,1.8507153987884521
